2019/12/03 04:12:11.011 fractal lines
2019/12/03 04:12:12.012 line (x1, y1): (50.0, 150.0) (x2, y2): (750.0, 150.0)
2019/12/03 04:12:12.012 line (x1, y1): (50.0, 175.0) (x2, y2): (260.0, 175.0)
2019/12/03 04:12:12.012 line (x1, y1): (539.0, 175.0) (x2, y2): (750.0, 175.0)
2019/12/03 04:12:41.041 fractal lines
2019/12/03 04:12:41.041 line (x1, y1): (50.0, 150.0) (x2, y2): (750.0, 150.0)
2019/12/03 04:12:41.041 line (x1, y1): (50.0, 200.0) (x2, y2): (260.0, 200.0)
2019/12/03 04:12:41.041 line (x1, y1): (50.0, 225.0) (x2, y2): (113.0, 225.0)
2019/12/03 04:12:41.041 line (x1, y1): (196.0, 225.0) (x2, y2): (260.0, 225.0)
2019/12/03 04:12:41.041 line (x1, y1): (539.0, 200.0) (x2, y2): (750.0, 200.0)
2019/12/03 04:12:41.041 line (x1, y1): (50.0, 100.0) (x2, y2): (260.0, 100.0)
2019/12/03 04:12:41.041 line (x1, y1): (539.0, 100.0) (x2, y2): (750.0, 100.0)
